julian_day;month;year;SBT;SST;tdiff
1;1;1979;4.777891156;2.409463931;-2.368427225
1;1;1980;5.306870748;2.872005295;-2.434865454
1;1;1981;5.138620019;3.602217075;-1.536402945
1;1;1982;5.211885326;1.891465917;-3.320419409
1;1;1983;5.559290573;3.537263402;-2.022027172
1;1;1984;5.404742468;3.419599603;-1.985142866
1;1;1985;6.093294461;2.897131039;-3.196163422
1;1;1986;6.825947522;3.188954335;-3.636993187
1;1;1987;6.364849368;3.378745864;-2.986103505
1;1;1988;5.648483965;4.65865321;-0.989830755
1;1;1989;5.479028183;3.96446724;-1.514560942
1;1;1990;6.57436346;3.925979484;-2.648383976
1;1;1991;5.93516035;3.49329914;-2.44186121
1;1;1992;5.72335277;3.722356056;-2.000996714
1;1;1993;6.247531584;2.405003309;-3.842528275
1;1;1994;5.24675413;2.837772998;-2.408981132
1;1;1995;6.201652089;4.213798809;-1.987853281
1;1;1996;6.09664723;0.67471542;-5.42193181
1;1;1997;6.163265306;0.701303772;-5.461961534
1;1;1998;6.310155491;3.410172071;-2.899983419
1;1;1999;5.112215743;2.493732627;-2.618483116
1;1;2000;5.943430515;2.925976175;-3.01745434
1;1;2001;6.732147716;4.153077432;-2.579070284
1;1;2002;6.578717201;1.814364659;-4.764352542
1;1;2003;5.773955296;1.37960953;-4.394345766
1;1;2004;6.285937804;3.611105228;-2.674832575
1;1;2005;6.345150632;3.908590338;-2.436560294
1;1;2006;6.653294461;2.796995367;-3.856299093
1;1;2007;7.191107872;6.045026473;-1.146081399
1;1;2008;6.412380952;3.855162144;-2.557218808
1;1;2009;6.915043732;3.091389808;-3.823653924
1;1;2010;6.949261419;2.568891463;-4.380369956
1;1;2011;5.274548105;0.069417604;-5.205130501
1;1;2012;6.284936832;4.489675711;-1.79526112
1;1;2013;6.387376093;3.174473858;-3.212902235
1;1;2014;6.68462585;4.829533422;-1.855092429
1;1;2015;6.349659864;4.323130377;-2.026529487
1;1;2016;7.166530612;5.843464593;-1.323066019
1;1;2017;4.777891156;2.409463931;-2.368427225
1;1;2018;6.32335277;4.630135672;-1.693217098
2;1;1979;4.630281827;1.795873594;-2.834408233
2;1;1980;5.30638484;2.647670417;-2.658714423
2;1;1981;5.060942663;3.407107876;-1.653834787
2;1;1982;5.250281827;1.834983455;-3.415298372
2;1;1983;5.523265306;3.558077432;-1.965187874
2;1;1984;5.29436346;3.455943084;-1.838420376
2;1;1985;6.047308066;2.697832561;-3.349475505
2;1;1986;6.721642371;2.887303111;-3.834339261
2;1;1987;6.227687075;3.210595632;-3.017091443
2;1;1988;5.63372206;4.791935804;-0.841786256
2;1;1989;5.444616132;3.94893448;-1.495681652
2;1;1990;6.595072886;3.808395103;-2.786677784
2;1;1991;5.850447036;3.551800132;-2.298646904
2;1;1992;5.659591837;3.880370615;-1.779221221
2;1;1993;6.207648202;2.11212773;-4.095520472
2;1;1994;5.269640428;2.693256122;-2.576384306
2;1;1995;6.176938776;3.926790205;-2.25014857
2;1;1996;6.030621963;0.762260093;-5.26836187
2;1;1997;6.12696793;0.514887492;-5.612080438
2;1;1998;6.24952381;3.436681006;-2.812842804
2;1;1999;5.085898931;2.452683653;-2.633215278
2;1;2000;5.915072886;2.954616148;-2.960456738
2;1;2001;6.663236152;4.17758769;-2.485648461
2;1;2002;6.3002138;1.895784249;-4.404429551
2;1;2003;5.710281827;1.245112508;-4.465169319
2;1;2004;6.160884354;3.513524156;-2.647360198
2;1;2005;6.325170068;3.926952349;-2.398217719
2;1;2006;6.659368319;2.762964924;-3.896403395
2;1;2007;7.134703596;5.941664461;-1.193039135
2;1;2008;6.330058309;3.730294507;-2.599763802
2;1;2009;6.908114674;2.871724024;-4.036390651
2;1;2010;6.91548105;2.39851092;-4.51697013
2;1;2011;5.215966958;0.005383852;-5.210583106
2;1;2012;6.248649174;4.671515553;-1.577133621
2;1;2013;6.368804665;3.123481138;-3.245323526
2;1;2014;6.651496599;4.792703508;-1.858793091
2;1;2015;6.264353741;4.431495698;-1.832858043
2;1;2016;7.126579203;5.665029782;-1.461549422
2;1;2017;4.630281827;1.795873594;-2.834408233
2;1;2018;6.28393586;4.603749173;-1.680186687
3;1;1979;4.256151603;1.332792852;-2.923358751
3;1;1980;5.308143829;2.339708802;-2.968435027
3;1;1981;5.041030126;3.468146923;-1.572883204
3;1;1982;5.259912536;1.966115156;-3.293797381
3;1;1983;5.488581147;3.467739907;-2.020841239
3;1;1984;5.233080661;3.488881535;-1.744199125
3;1;1985;6.009912536;2.370810721;-3.639101815
3;1;1986;6.6703207;2.760450033;-3.909870667
3;1;1987;6.228696498;2.96343812;-3.265258378
3;1;1988;5.617599611;4.900198544;-0.717401067
3;1;1989;5.406511176;3.865238253;-1.541272923
3;1;1990;6.604703596;3.698818663;-2.905884933
3;1;1991;5.750777454;3.59698544;-2.153792014
3;1;1992;5.569261419;3.975622105;-1.593639314
3;1;1993;6.138600583;1.744626075;-4.393974508
3;1;1994;5.294314869;2.56694904;-2.727365828
3;1;1995;6.161846453;3.61506949;-2.546776962
3;1;1996;6.008289602;0.715311052;-5.292978549
3;1;1997;6.089271137;0.377650563;-5.711620574
3;1;1998;6.231107872;3.494106552;-2.73700132
3;1;1999;5.055986395;2.537723362;-2.518263033
3;1;2000;5.864664723;3.116998676;-2.747666047
3;1;2001;6.628182702;4.234510258;-2.393672444
3;1;2002;6.344062196;1.532124421;-4.811937775
3;1;2003;5.701963071;1.271283918;-4.430679153
3;1;2004;6.106948494;3.309232296;-2.797716197
3;1;2005;6.065442177;3.789781602;-2.275660575
3;1;2006;6.675024295;2.637988087;-4.037036208
3;1;2007;7.10797862;5.830704831;-1.277273789
3;1;2008;6.162244898;3.617346128;-2.54489877
3;1;2009;6.878143829;2.878719391;-3.999424438
3;1;2010;6.875140914;2.135946393;-4.73919452
3;1;2011;5.306375121;-0.197700199;-5.50407532
3;1;2012;6.199708455;4.59890139;-1.600807065
3;1;2013;6.376822157;3.272313038;-3.10450912
3;1;2014;6.608474247;4.811982131;-1.796492116
3;1;2015;6.138357629;4.376237591;-1.762120038
3;1;2016;6.923809524;5.221654533;-1.70215499
3;1;2017;4.256151603;1.332792852;-2.923358751
3;1;2018;6.23877551;4.558739246;-1.680036265
4;1;1979;3.997482993;0.893888154;-3.10359484
4;1;1980;5.30148688;1.95993051;-3.341556371
4;1;1981;4.966190476;3.459027134;-1.507163342
4;1;1982;5.236637512;2.057743216;-3.178894296
4;1;1983;5.473634597;3.632041694;-1.841592902
4;1;1984;5.153712342;3.347465255;-1.806247087
4;1;1985;5.863586006;1.971955659;-3.891630347
4;1;1986;6.744130224;2.57822634;-4.165903883
4;1;1987;6.240797665;2.686191264;-3.554606401
4;1;1988;5.589805637;4.85964593;-0.730159707
4;1;1989;5.361895044;3.789010589;-1.572884455
4;1;1990;6.590087464;3.71386499;-2.876222473
4;1;1991;5.69090379;3.558676373;-2.132227417
4;1;1992;5.444188533;4.023338848;-1.420849684
4;1;1993;6.033858115;1.499599603;-4.534258512
4;1;1994;5.25313897;2.652534745;-2.600604225
4;1;1995;6.110563654;3.341657842;-2.768905812
4;1;1996;5.987405248;0.539976837;-5.447428411
4;1;1997;6.012361516;0.478894772;-5.533466744
4;1;1998;6.213323615;3.57733951;-2.635984105
4;1;1999;5.10170068;2.52006949;-2.58163119
4;1;2000;5.797619048;3.187673726;-2.609945322
4;1;2001;6.596938776;4.193398412;-2.403540364
4;1;2002;6.267444121;1.161829914;-5.105614207
4;1;2003;5.621924198;1.139880874;-4.482043325
4;1;2004;6.143586006;3.134202515;-3.009383491
4;1;2005;5.970009718;3.921280609;-2.048729109
4;1;2006;6.671166181;2.54652548;-4.124640701
4;1;2007;7.119446064;5.916181337;-1.203264727
4;1;2008;5.891632653;3.457223693;-2.43440896
4;1;2009;6.840563654;2.891217737;-3.949345917
4;1;2010;6.819591837;1.809037062;-5.010554775
4;1;2011;5.280592809;-0.227309729;-5.507902537
4;1;2012;6.152594752;4.559943746;-1.592651006
4;1;2013;6.362225462;3.456144937;-2.906080524
4;1;2014;6.597249757;4.854679021;-1.742570737
4;1;2015;6.095898931;4.222167439;-1.873731492
4;1;2016;6.682536443;4.806224355;-1.876312088
4;1;2017;3.997482993;0.893888154;-3.10359484
4;1;2018;6.261603499;4.599801456;-1.661802043
5;1;1979;3.937609329;0.531293845;-3.406315484
5;1;1980;5.20361516;1.964179351;-3.239435809
5;1;1981;4.893401361;3.233702846;-1.659698515
