"survey";"year";"country";"quarter";"area";"aphia_id";"species";"length";"plusgr";"age";"sex";"maturity";"weight";"canoatlngt";"dateofcalc";"spawning_scale"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";150;-9;1;"F";"1";30;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";160;-9;1;"F";"1";30;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";170;-9;1;"F";"1";40;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";170;-9;1;"F";"1";50;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";170;-9;2;"F";"1";40;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";190;-9;1;"F";"1";60;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";210;-9;1;"F";"1";80;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";210;-9;2;"F";"1";70;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";220;-9;1;"F";"1";100;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";230;-9;1;"F";"1";100;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";230;-9;2;"F";"1";110;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";240;-9;2;"F";"1";140;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";250;-9;2;"F";"1";150;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";250;-9;2;"F";"1";160;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";260;-9;2;"F";"1";170;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";270;-9;2;"F";"1";170;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";280;-9;2;"F";"1";200;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";310;-9;3;"F";"1";300;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";340;-9;3;"F";"2";350;3;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";360;-9;2;"F";"2";450;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";360;-9;3;"F";"2";450;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";390;-9;3;"F";"2";600;2;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";420;-9;3;"F";"4";680;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";420;-9;4;"F";"4";800;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";430;-9;3;"F";"2";800;2;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";430;-9;4;"F";"2";800;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";440;-9;3;"F";"2";800;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";450;-9;3;"F";"4";900;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";450;-9;4;"F";"2";880;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";470;-9;3;"F";"2";900;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";470;-9;3;"F";"4";1000;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";480;-9;3;"F";"1";1300;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";490;-9;3;"F";"4";1300;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";500;-9;4;"F";"4";1300;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";550;-9;3;"F";"4";2100;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";580;-9;4;"F";"2";2200;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";590;-9;4;"F";"4";2000;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";600;-9;4;"F";"2";2400;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";600;-9;4;"F";"2";2700;2;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";610;-9;4;"F";"4";2500;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";620;-9;4;"F";"2";3000;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";620;-9;5;"F";"4";3700;1;20140320;"spent"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";660;-9;5;"F";"2";3800;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";680;-9;4;"F";"2";3300;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";690;-9;4;"F";"3";3000;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";120;-9;1;"F";"1";NA;1;20140320;"immature"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";140;-9;1;"F";"1";NA;1;20140320;"immature"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";150;-9;1;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"F";"1";NA;1;20140320;"immature"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"F";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"F";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"F";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"F";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"F";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"F";"1";NA;1;20140320;"immature"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";250;-9;1;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";260;-9;1;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";260;-9;2;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";260;-9;3;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";270;-9;1;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";270;-9;2;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";280;-9;1;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";280;-9;2;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";280;-9;3;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";290;-9;2;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";290;-9;2;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";300;-9;2;"F";"5";NA;5;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";310;-9;2;"F";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;2;"F";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;2;"F";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";320;-9;3;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"F";"3";NA;2;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";330;-9;2;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;2;"F";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;2;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";340;-9;3;"F";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";350;-9;2;"F";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";350;-9;2;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";360;-9;2;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";360;-9;3;"F";"5";NA;4;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;3;"F";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;3;"F";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";370;-9;3;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";380;-9;2;"F";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";380;-9;3;"F";"2";NA;2;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";380;-9;3;"F";"3";NA;2;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";390;-9;3;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";390;-9;3;"F";"5";NA;6;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"F";"2";NA;4;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"F";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";400;-9;3;"F";"5";NA;3;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";410;-9;3;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";410;-9;4;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;2;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;3;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;4;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";420;-9;4;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";430;-9;2;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";430;-9;3;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";430;-9;3;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";430;-9;4;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";440;-9;3;"F";"2";NA;3;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";440;-9;4;"F";"4";NA;1;20140320;"spent"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";440;-9;4;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";450;-9;3;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";450;-9;3;"F";"3";NA;1;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";460;-9;4;"F";"3";NA;2;20140320;"spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";460;-9;4;"F";"5";NA;2;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";470;-9;3;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";480;-9;4;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";540;-9;5;"F";"5";NA;1;20140320;"resting_skip_spawning"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";570;-9;4;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";580;-9;5;"F";"2";NA;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";850;-9;6;"F";"3";NA;1;20140320;"spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";140;-9;1;"F";"1";25;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";150;-9;1;"F";"1";NA;2;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";150;-9;1;"F";"1";26;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"F";"1";41;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"F";"1";43;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";170;-9;1;"F";"1";45;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"F";"1";44;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"F";"1";49;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"F";"1";51;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"F";"1";54;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";180;-9;1;"F";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"F";"1";NA;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"F";"1";70;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";190;-9;1;"F";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"F";"1";69;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"F";"1";77;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";200;-9;1;"F";"1";80;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"F";"1";NA;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"F";"1";85;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"F";"5";75;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"F";"5";83;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";210;-9;1;"F";"5";89;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"F";"1";90;1;20161213;"immature"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"F";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";220;-9;1;"F";"5";84;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"F";"5";NA;3;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"F";"5";99;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"F";"5";105;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";230;-9;1;"F";"5";115;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";240;-9;1;"F";"5";125;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";240;-9;1;"F";"5";130;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";250;-9;1;"F";"5";145;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";260;-9;1;"F";"5";NA;1;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";260;-9;1;"F";"5";175;2;20161213;"resting_skip_spawning"
"BITS";1994;"GFR";1;22;126436;"Gadus morhua";270;-9;1;"F";"5";185;1;20161213;"resting_skip_spawning"
