"survey";"year";"country";"quarter";"area";"aphia_id";"species";"length";"plusgr";"age";"sex";"maturity";"weight";"canoatlngt";"dateofcalc";"spawning_scale"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";150;-9;1;"M";"1";20;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";160;-9;1;"M";"1";40;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";180;-9;1;"M";"1";50;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";190;-9;1;"M";"1";60;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";200;-9;1;"M";"1";80;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";230;-9;1;"M";"1";110;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";240;-9;1;"M";"1";120;2;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";250;-9;2;"M";"1";150;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";250;-9;2;"M";"1";160;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";260;-9;2;"M";"1";170;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";260;-9;2;"M";"1";180;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";270;-9;1;"M";"1";200;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";300;-9;2;"M";"1";300;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";310;-9;2;"M";"1";300;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";320;-9;2;"M";"1";350;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";340;-9;2;"M";"1";400;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";340;-9;2;"M";"3";360;1;20140320;"spawning"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";340;-9;3;"M";"2";350;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";350;-9;2;"M";"1";380;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";360;-9;2;"M";"1";400;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";370;-9;2;"M";"3";460;1;20140320;"spawning"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";370;-9;3;"M";"2";480;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";380;-9;3;"M";"2";500;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";380;-9;3;"M";"3";550;1;20140320;"spawning"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";400;-9;3;"M";"2";550;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";400;-9;3;"M";"3";650;1;20140320;"spawning"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";420;-9;3;"M";"1";650;1;20140320;"immature"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";420;-9;4;"M";"2";700;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";450;-9;3;"M";"2";850;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";480;-9;4;"M";"2";1300;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";490;-9;3;"M";"2";1500;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";490;-9;4;"M";"2";1200;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";500;-9;3;"M";"2";1400;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";500;-9;3;"M";"2";1600;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";500;-9;4;"M";"2";1400;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";520;-9;3;"M";"2";1600;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";560;-9;3;"M";"3";2000;1;20140320;"spawning"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";570;-9;3;"M";"2";2000;1;20140320;"maturing"
"BITS";1992;"SWE";1;23;126436;"Gadus morhua";660;-9;4;"M";"2";3400;1;20140320;"maturing"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";140;-9;1;"M";"1";NA;1;20140320;"immature"
"BITS";1993;"GFR";1;22;126436;"Gadus morhua";150;-9;1;"M";"1";NA;4;20140320;"immature"
